"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","380","Cenario 02: Não deve realizar login com email invalido","","Wed Jan 08 12:18:03 GMT 2025","passed","Wed Jan 08 12:18:03 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithInvalidEmail"
"","332","Cenario 01: Deve realizar cadastro com sucesso","","Wed Jan 08 12:18:07 GMT 2025","passed","Wed Jan 08 12:18:07 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","registrationSuccessful"
"","229","Cenario 02: Deve validar o contrato de resposta ao obter um usuário na lista","","Wed Jan 08 12:18:09 GMT 2025","passed","Wed Jan 08 12:18:10 GMT 2025","","Feature: Teste de Obtenção de Usuário","automation.dev.serverest.api.tests.GetUserTest","validateGetUserContract"
"","251","Cenario 08: Não deve realizar login com email nulo","","Wed Jan 08 12:18:05 GMT 2025","passed","Wed Jan 08 12:18:05 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithNullEmail"
"","298","Cenario 06: Não deve realizar login com email e senha vazios","","Wed Jan 08 12:18:04 GMT 2025","passed","Wed Jan 08 12:18:05 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithEmptyCredentials"
"","274","Cenario 07: Não deve realizar login com email e senha com espaços em branco","","Wed Jan 08 12:18:05 GMT 2025","passed","Wed Jan 08 12:18:05 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithSpacesInCredentials"
"","237","Cenario 02: Deve falhar ao realizar cadastro com e-mail inválido","","Wed Jan 08 12:18:07 GMT 2025","passed","Wed Jan 08 12:18:07 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","registrationWithInvalidEmail"
"","213","Cenario 03: Deve criar um novo usuário ao tentar editar um usuário inexistente","","Wed Jan 08 12:18:09 GMT 2025","passed","Wed Jan 08 12:18:09 GMT 2025","","Feature: Testes de Edição de Usuário","automation.dev.serverest.api.tests.EditUserTest","editNonExistentUser"
"","227","Cenario 02: Deve falhar ao realizar edição com todos os dados em branco","","Wed Jan 08 12:18:08 GMT 2025","passed","Wed Jan 08 12:18:09 GMT 2025","","Feature: Testes de Edição de Usuário","automation.dev.serverest.api.tests.EditUserTest","editUserWithInvalidData"
"","241","Cenario 05: Deve falhar ao realizar cadastro com senha em branco","","Wed Jan 08 12:18:08 GMT 2025","passed","Wed Jan 08 12:18:08 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","registrationWithEmptyPassword"
"","261","Cenario 01: Deve realizar edição com sucesso","","Wed Jan 08 12:18:08 GMT 2025","passed","Wed Jan 08 12:18:08 GMT 2025","","Feature: Testes de Edição de Usuário","automation.dev.serverest.api.tests.EditUserTest","editUserSuccessful"
"","224","Cenario 04: Deve falhar ao realizar cadastro com email em branco","","Wed Jan 08 12:18:07 GMT 2025","passed","Wed Jan 08 12:18:08 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","registrationWithEmptyEmail"
"","245","Cenario 06: Deve validar o contrato de resposta ao realizar cadastro com sucesso","","Wed Jan 08 12:18:08 GMT 2025","passed","Wed Jan 08 12:18:08 GMT 2025","","Feature: Teste de Cadastro de Usuário","automation.dev.serverest.api.tests.RegisterTest","validateRegistrationSuccessContract"
"","1225","Cenario 10: Deve validar o contrato de resposta ao realizar login com sucesso","","Wed Jan 08 12:18:05 GMT 2025","passed","Wed Jan 08 12:18:06 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","validateLoginSuccessContract"
"","328","Cenario 04: Não deve realizar login com senha inválida","","Wed Jan 08 12:18:04 GMT 2025","passed","Wed Jan 08 12:18:04 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithInvalidPassword"
"","248","Cenario 05: Não deve realizar login com senha vazia","","Wed Jan 08 12:18:04 GMT 2025","passed","Wed Jan 08 12:18:04 GMT 2025","","Feature: Teste de Login de Usuário","automation.dev.serverest.api.tests.LoginUserTest","loginWithEmptyPassword"
