"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 26 20:54:07 GMT 2024","Thu Sep 26 20:54:08 GMT 2024","388","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginWithInvalidPassword","Cenario 04: Não deve realizar login com senha inválida",""
"passed","Thu Sep 26 20:54:09 GMT 2024","Thu Sep 26 20:54:09 GMT 2024","360","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginWithNullEmail","Cenario 08: Não deve realizar login com email nulo",""
"passed","Thu Sep 26 20:54:09 GMT 2024","Thu Sep 26 20:54:11 GMT 2024","1202","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","validateLoginSuccessContract","Cenario 10: Deve validar o contrato de resposta ao realizar login com sucesso",""
"passed","Thu Sep 26 20:54:12 GMT 2024","Thu Sep 26 20:54:12 GMT 2024","367","","Feature: Teste de Cadastro de Usuário","","automation.dev.serverest.api.usecases.RegisterTest","registrationWithEmptyName","Cenario 03: Deve falhar ao realizar cadastro com nome em branco",""
"passed","Thu Sep 26 20:54:15 GMT 2024","Thu Sep 26 20:54:15 GMT 2024","353","","Feature: Testes de Edição de Usuário","","automation.dev.serverest.api.usecases.EditUserTest","validateEditUserContract","Cenario 05: Deve validar o contrato de resposta ao editar usuário com sucesso",""
"passed","Thu Sep 26 20:54:12 GMT 2024","Thu Sep 26 20:54:12 GMT 2024","346","","Feature: Teste de Cadastro de Usuário","","automation.dev.serverest.api.usecases.RegisterTest","registrationWithEmptyEmail","Cenario 04: Deve falhar ao realizar cadastro com email em branco",""
"passed","Thu Sep 26 20:54:02 GMT 2024","Thu Sep 26 20:54:06 GMT 2024","3746","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginSuccessful","Cenario 01: Deve realizar login com sucesso",""
"passed","Thu Sep 26 20:54:07 GMT 2024","Thu Sep 26 20:54:07 GMT 2024","381","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginWithEmptyEmail","Cenario 03: Não deve realizar login com email vazio",""
"passed","Thu Sep 26 20:54:13 GMT 2024","Thu Sep 26 20:54:14 GMT 2024","351","","Feature: Testes de Edição de Usuário","","automation.dev.serverest.api.usecases.EditUserTest","editUserWithInvalidData","Cenario 02: Deve falhar ao realizar edição com todos os dados em branco",""
"passed","Thu Sep 26 20:54:14 GMT 2024","Thu Sep 26 20:54:14 GMT 2024","348","","Feature: Testes de Edição de Usuário","","automation.dev.serverest.api.usecases.EditUserTest","editNonExistentUser","Cenario 03: Deve criar um novo usuário ao tentar editar um usuário inexistente",""
"passed","Thu Sep 26 20:54:12 GMT 2024","Thu Sep 26 20:54:13 GMT 2024","443","","Feature: Teste de Cadastro de Usuário","","automation.dev.serverest.api.usecases.RegisterTest","registrationWithEmptyPassword","Cenario 05: Deve falhar ao realizar cadastro com senha em branco",""
"passed","Thu Sep 26 20:54:06 GMT 2024","Thu Sep 26 20:54:07 GMT 2024","515","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginWithInvalidEmail","Cenario 02: Não deve realizar login com email invalido",""
"passed","Thu Sep 26 20:54:13 GMT 2024","Thu Sep 26 20:54:13 GMT 2024","364","","Feature: Teste de Cadastro de Usuário","","automation.dev.serverest.api.usecases.RegisterTest","validateRegistrationSuccessContract","Cenario 06: Deve validar o contrato de resposta ao realizar cadastro com sucesso",""
"passed","Thu Sep 26 20:54:11 GMT 2024","Thu Sep 26 20:54:11 GMT 2024","514","","Feature: Teste de Cadastro de Usuário","","automation.dev.serverest.api.usecases.RegisterTest","registrationSuccessful","Cenario 01: Deve realizar cadastro com sucesso",""
"passed","Thu Sep 26 20:54:15 GMT 2024","Thu Sep 26 20:54:15 GMT 2024","132","","Feature: Teste de Obtenção de Usuário","","automation.dev.serverest.api.usecases.GetUserTest","getAUserInTheList","Cenario 01: Deve obter um usuario na lista",""
"passed","Thu Sep 26 20:54:09 GMT 2024","Thu Sep 26 20:54:09 GMT 2024","363","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginWithNullPassword","Cenario 09: Não deve realizar login com senha nula",""
"passed","Thu Sep 26 20:54:15 GMT 2024","Thu Sep 26 20:54:15 GMT 2024","126","","Feature: Teste de Obtenção de Usuário","","automation.dev.serverest.api.usecases.GetUserTest","validateGetUserContract","Cenario 02: Deve validar o contrato de resposta ao obter um usuário na lista",""
"passed","Thu Sep 26 20:54:08 GMT 2024","Thu Sep 26 20:54:09 GMT 2024","391","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginWithSpacesInCredentials","Cenario 07: Não deve realizar login com email e senha com espaços em branco",""
"passed","Thu Sep 26 20:54:08 GMT 2024","Thu Sep 26 20:54:08 GMT 2024","375","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginWithEmptyPassword","Cenario 05: Não deve realizar login com senha vazia",""
"passed","Thu Sep 26 20:54:14 GMT 2024","Thu Sep 26 20:54:15 GMT 2024","395","","Feature: Testes de Edição de Usuário","","automation.dev.serverest.api.usecases.EditUserTest","editUserWithNullFields","Cenario 04: Deve falhar ao realizar edição com campos nulos",""
"passed","Thu Sep 26 20:54:08 GMT 2024","Thu Sep 26 20:54:08 GMT 2024","394","","Feature: Teste de Login de Usuário","","automation.dev.serverest.api.usecases.LoginUserTest","loginWithEmptyCredentials","Cenario 06: Não deve realizar login com email e senha vazios",""
"passed","Thu Sep 26 20:54:13 GMT 2024","Thu Sep 26 20:54:13 GMT 2024","374","","Feature: Testes de Edição de Usuário","","automation.dev.serverest.api.usecases.EditUserTest","editUserSuccessful","Cenario 01: Deve realizar edição com sucesso",""
"passed","Thu Sep 26 20:54:11 GMT 2024","Thu Sep 26 20:54:12 GMT 2024","381","","Feature: Teste de Cadastro de Usuário","","automation.dev.serverest.api.usecases.RegisterTest","registrationWithInvalidEmail","Cenario 02: Deve falhar ao realizar cadastro com e-mail inválido",""
